p225_001| PLIY1Z KAO1L STEH1LAH0 .
p225_021| DHAH0 DIH1FER0AH0NS IH0N DHAH0 REY1NBOW2 DIH0PEH1NDZ KAH0NSIH1DER0AH0BLIY0 AH0PAA1N DHAH0 SAY1Z AH1V DHAH0 DRAA1PS , AH0ND DHAH0 WIH1DTH AH1V DHAH0 KAH1LER0D BAE1ND IH2NKRIY1SIH0Z AE1Z DHAH0 SAY1Z AH1V DHAH0 DRAA1PS IH2NKRIY1SIH0Z .
p225_022| DHAH0 AE1KCHAH0WAH0L PRAY1MEH2RIY0 REY1NBOW2 AH0BZER1VD IH1Z SEH1D TUW1 BIY1 DHAH0 IH0FEH1KT AH1V SUW1PER0 IH2MPAH0ZIH1SHAH0N AH1V AH0 NAH1MBER0 AH1V BAW1Z .
p225_023| IH1F DHAH0 REH1D AH1V DHAH0 SEH1KAH0ND BAW1 FAO1LZ AH0PAA1N DHAH0 GRIY1N AH1V DHAH0 FER1ST , DHAH0 RIH0ZAH1LT IH1Z TUW1 GIH1V AH0 BAW1 WIH1DH AE1N AE0BNAO1RMAH0LIY0 WAY1D YEH1LOW0 BAE1ND , SIH1NS REH1D AH0ND GRIY1N LAY1T WEH1N MIH1KST FAO1RM YEH1LOW0 .
p225_024| DHIH1S IH1Z AH0 VEH1RIY0 KAA1MAH0N TAY1P AH1V BAW1 , WAH1N SHOW1IH0NG MEY1NLIY0 REH1D AH0ND YEH1LOW0 , WIH1DH LIH1TAH0L AO1R NOW1 GRIY1N AO1R BLUW1 .
p225_025| WAY1 DUW1 YUW1 WAA1NT TUW1 KAH1M TUW1 EH1DAH0NBER0OW0 ?
p225_026| HHAW1 AA1R YUW1 , SER1 ?
p225_027| SOW1 IH1Z DHAE1T IH1T , DHEH1N ?
p225_028| DUW1 AY1 HHAE1V AH0 FEY1VER0IH0T ?
p225_029| WAH1T DUW1 WIY1 DUW1 ?
p225_030| PIY1PAH0L KAH1M IH1NTUW0 DHAH0 BAO1RDER0Z FAO1R DHAH0 BYUW1TIY0 AH1V DHAH0 BAE1KGRAW2ND .
p225_033| IH1TS RIH1LIY0 NOW1 GREY1T SER0PRAY1Z , BIH0KAO1Z DHAH0 PRAY1S DIH1FER0AH0NS IH1Z SOW1 MAH1CH .
p225_035| AH0 HHAA1STAH0L BIH1D IH1Z PRIH0VEH1NTIH0D FAO1R AH0NAH1DHER0 NAY1N MAH1NTHS .
p225_036| IH1T WAA1Z AH0 KLOW1S KAO1L .
p225_037| IH0N FAE1KT .
p225_038| DAY1VIH0NG IH1Z NOW1 PAA1RT AH1V FUH1TBAO2L .
p225_039| HHAW2EH1VER0 , DHAH0 DIH0SIH1ZHAH0N HHAE1Z BIH1N WEH1LKAH0MD BAY1 SKAA1TIH0SH EH1NTER0PRAY2Z AH0FIH1SHAH0LZ .
p225_040| BIH0LIY1V IH1T .
p225_044| IH1T WAA1Z SER1VD BAY1 SHEH1RAH0F AO1FAH0SER0Z , NAA1T BAY1 DHAH0 KAW1NSAH0L .
p225_045| PIY1PAH0L WER1 DIH0TER1MAH0ND TUW1 CHEY1NJH DHAH0 GAH1VER0NMAH0NT IH0N DHAH0 LAE1ST IH0LEH1KSHAH0N .
p225_046| NOW1 DIH0TEY1LZ AH1V DHAH0 TAO1KS WER1 GIH1VAH0N .
p225_049| AY1 HHAE1V LER1ND FRAH1M HHIH1M .
p225_051| WIY1 AA1R KAH0MIH1TIH0D TUW1 DHAH0 BAE1N .
p225_052| AO0LREH1DIY0 , HHIY1 HHAE1Z BIH1N AH0 TRAH0MEH1NDAH0S IH1NFLUW0AH0NS IH0N DHAH0 DREH1SIH0NG RUW1M .
p225_053| AY1 HHAE1V MEY1D DHAE1T AO1FER0 .
p225_054| FAO1R AH1DHER0 CHAA1RJHIH0Z WER1 DRAA1PT .
p225_056| KLIH1RLIY0 , IH1T KAE1N GOW1 IY1DHER0 WEY1 .
p225_057| HHAW2EH1VER0 , DHAH0 SIH1TIY0 WAA1Z IH0N NOW1 DAW1T AH0BAW1T DHAH0 AH1LTAH0MAH0T RIH0ZAH1LT .
p225_058| HHAW2EH1VER0 , DHAH0 PRAA1BLAH0M IH1Z DHAH0 TAY1MIH0NG .
